support,itemsets
0.3211009174311927,"frozenset({'HighRevenue', 'HighBudget', 'LongRuntime'})"
0.14220183486238533,"frozenset({'HighRevenue', 'LowRating', 'HighBudget'})"
0.3348623853211009,"frozenset({'HighRevenue', 'HighBudget', 'NonSummerRelease'})"
0.3073394495412844,"frozenset({'HighRevenue', 'HighBudget', 'NotPopularTop25'})"
0.13302752293577982,"frozenset({'HighRevenue', 'HighBudget', 'PopularTop25'})"
0.13302752293577982,"frozenset({'HighRevenue', 'HighBudget', 'Science Fiction'})"
0.11926605504587157,"frozenset({'HighRevenue', 'HighBudget', 'ShortRuntime'})"
0.10550458715596331,"frozenset({'SummerRelease', 'HighBudget', 'HighRevenue'})"
0.13302752293577982,"frozenset({'HighRevenue', 'HighBudget', 'Thriller'})"
0.08256880733944955,"frozenset({'LowRating', 'LongRuntime', 'HighBudget'})"
0.27522935779816515,"frozenset({'HighBudget', 'NonSummerRelease', 'LongRuntime'})"
0.26605504587155965,"frozenset({'HighBudget', 'LongRuntime', 'NotPopularTop25'})"
0.0871559633027523,"frozenset({'HighBudget', 'PopularTop25', 'LongRuntime'})"
0.12844036697247707,"frozenset({'HighBudget', 'LongRuntime', 'Science Fiction'})"
0.0779816513761468,"frozenset({'SummerRelease', 'HighBudget', 'LongRuntime'})"
0.11926605504587157,"frozenset({'HighBudget', 'Thriller', 'LongRuntime'})"
0.1559633027522936,"frozenset({'LowRating', 'NonSummerRelease', 'HighBudget'})"
0.0963302752293578,"frozenset({'LowRating', 'NotPopularTop25', 'HighBudget'})"
0.08256880733944955,"frozenset({'LowRating', 'PopularTop25', 'HighBudget'})"
0.0963302752293578,"frozenset({'LowRating', 'ShortRuntime', 'HighBudget'})"
0.0871559633027523,"frozenset({'LowRating', 'Thriller', 'HighBudget'})"
0.25688073394495414,"frozenset({'HighBudget', 'NonSummerRelease', 'NotPopularTop25'})"
0.13761467889908258,"frozenset({'HighBudget', 'NonSummerRelease', 'PopularTop25'})"
0.13302752293577982,"frozenset({'HighBudget', 'NonSummerRelease', 'Science Fiction'})"
0.11926605504587157,"frozenset({'HighBudget', 'NonSummerRelease', 'ShortRuntime'})"
0.14678899082568808,"frozenset({'Thriller', 'HighBudget', 'NonSummerRelease'})"
0.11009174311926606,"frozenset({'HighBudget', 'NotPopularTop25', 'Science Fiction'})"
0.07339449541284404,"frozenset({'SummerRelease', 'HighBudget', 'NotPopularTop25'})"
0.10091743119266056,"frozenset({'HighBudget', 'Thriller', 'NotPopularTop25'})"
